Date_NodeID 0 4_0 4_1
20220901 0.7 0.8 0.75
20220902 0.8 0.8 0.0
20220903 0.9 0.8 0.0
20220904 0.8 0.8 0.0
20220905 0.8 0.8 0.0
20220906 0.71 0.8 0.0
20220907 0.01 0.8 0.0
20220908 0.02 0.8 0.0
20220909 0.03 0.8 0.0
20220910 0.04 0.9 0.0
20220911 0.0 0.9 0.0
20220912 0.0 0.9 0.0
20220913 0.0 0.9 0.0
20220914 1.0 0.9 0.0
20220915 1.0 0.9 0.85
20220916 0.0 0.0 0.0
20220917 0.0 0.0 0.0
20220918 0.0 0.0 0.0
20220919 0.0 0.0 0.0
20220920 0.0 0.0 0.0
20220921 0.0 0.0 0.0
20220922 1.0 0.8 0.85
20220923 1.0 0.8 0.85
20220924 1.0 0.8 0.85
20220925 1.0 0.8 0.85
20220926 1.0 0.8 0.85
20220927 0.87 0.0 0.8
20220928 0.88 0.0 0.8
20220929 1.0 0.0 0.8
20220930 1.0 0.0 0.8
