RESTPRICE	33
Date	Price
2022090100	24.88
2022090200	25.85
2022090300	63.92
2022090400	10.1
2022090500	88.84
2022090600	14.35
2022090700	51.53
2022090800	26.56
2022090900	52.93
2022091000	10.94
2022091100	10.01
2022091200	17.95
2022091300	82.58
2022091400	25.5
2022091500	55.82
2022091600	29.39
2022091700	46.96
2022091800	17.59
2022091900	88.33
2022092000	80.82
2022092100	88.83
2022092200	78.9
2022092300	59.98
2022092400	50.71
2022092500	99.08
2022092600	59.4
2022092700	16.89
2022092800	18.52
2022092900	27.1
2022093000	18.97
